T1,candidate,n_blocks,permutation_count,M,workload_ratio_exact_over_mc,mc_runtime_mean_seconds,mc_runtime_sd_seconds,mean_q_hat,exact_runtime_seconds,exact_q,absolute_q_error,measured_speedup,exact_executed,fallback_reason
1,"(0,)",16,240,1000,0.24,0.09946816666827847,0.0012784259434762545,0.19400000000000003,0.02345089998561889,0.1875,0.0065000000000000335,0.2357628653579844,True,
2,"(0, 0)",38,50616,1000,50.616,0.10041843331418931,0.004440076272234302,0.5053333333333333,4.770646799937822,0.48862019914651494,0.016713134186818357,47.50768003929534,True,
3,"(0, 0, 0)",17,57120,1000,57.12,0.1034750333443905,0.00466845219605161,0.2823333333333333,5.576068400056101,0.27941176470588236,0.0029215686274509656,53.888056083031806,True,
4,"(0, 0, 0, 1)",32,24165120,1000,24165.12,0.10697030004424353,0.005021615146207902,0.4076666666666666,nan,nan,nan,nan,False,
5,"(0, 0, 0, 1, 1)",33,797448960,1000,797448.96,0.10887890002535035,0.0010856841631859539,0.5386666666666667,nan,nan,nan,nan,False,
6,"(0, 0, 0, 1, 1, 1)",14,17297280,1000,17297.28,0.11198963329661638,0.001031190182710691,0.44333333333333336,nan,nan,nan,nan,False,
