split_id,split_index,experiment_id,user_id,true_state,true_state_name,M,candidate,q_exact,q_hat,error,absolute_error,squared_error,margin_abs_q_minus_alpha,exact_decision,mc_decision,decision_disagreement,hoeffding_decision_bound,n_blocks,exact_permutation_count
exp35_user17_cut168,0,35,17,0,stationary,25,"(0,)",0.5714285714285714,0.64,0.06857142857142862,0.06857142857142862,0.004702040816326537,0.3714285714285714,True,True,False,0.0010098442341126832,14,182
exp35_user17_cut168,0,35,17,0,stationary,25,"(1,)",0.1721014492753623,0.16,-0.012101449275362303,0.012101449275362303,0.0001464450745641668,0.027898550724637705,False,False,False,0.9618310604011863,24,552
exp35_user17_cut168,0,35,17,0,stationary,50,"(0,)",0.5714285714285714,0.56,-0.011428571428571344,0.011428571428571344,0.00013061224489795725,0.3714285714285714,True,True,False,1.0197853771706318e-06,14,182
exp35_user17_cut168,0,35,17,0,stationary,50,"(1,)",0.1721014492753623,0.24,0.06789855072463769,0.06789855072463769,0.004610213190506197,0.027898550724637705,False,True,True,0.9251189887524705,24,552
exp35_user17_cut168,0,35,17,0,stationary,100,"(0,)",0.5714285714285714,0.56,-0.011428571428571344,0.011428571428571344,0.00013061224489795725,0.3714285714285714,True,True,False,1.039962215491048e-12,14,182
exp35_user17_cut168,0,35,17,0,stationary,100,"(1,)",0.1721014492753623,0.18,0.007898550724637687,0.007898550724637687,6.238710354967454e-05,0.027898550724637705,False,False,False,0.8558451433503935,24,552
exp35_user17_cut168,0,35,17,0,stationary,250,"(0,)",0.5714285714285714,0.58,0.008571428571428563,0.008571428571428563,7.34693877551019e-05,0.3714285714285714,True,True,False,1.1029197186570764e-30,14,182
exp35_user17_cut168,0,35,17,0,stationary,250,"(1,)",0.1721014492753623,0.156,-0.016101449275362306,0.016101449275362306,0.00025925666876706535,0.027898550724637705,False,False,False,0.6776227469914515,24,552
exp35_user17_cut168,0,35,17,0,stationary,500,"(0,)",0.5714285714285714,0.57,-0.0014285714285714457,0.0014285714285714457,2.040816326530661e-06,0.3714285714285714,True,True,False,1.2164319058026047e-60,14,182
exp35_user17_cut168,0,35,17,0,stationary,500,"(1,)",0.1721014492753623,0.17,-0.0021014492753622938,0.0021014492753622938,4.41608905692071e-06,0.027898550724637705,False,False,False,0.45917258724024074,24,552
exp35_user17_cut168,0,35,17,0,stationary,1000,"(0,)",0.5714285714285714,0.578,0.006571428571428561,0.006571428571428561,4.318367346938762e-05,0.3714285714285714,True,True,False,1.4797065814545567e-120,14,182
